Name,Cost,Link,Quantity,Code,LocationCode,StockQuantity,AddedDate
"跨境爆款USB车载户外露营办公室加热毛毯可水洗暖身发热盖毯披肩 【货品快照】
颜色:枫叶红;  宽度:150*70CM",55.00,https://detail.1688.com/offer/849346687446.html?spm=a360q.8274423.0.0.10584c9aF0lDMa,3,8366217,,0,2024-12-12
"中东阿拉伯PVC磨砂塑料扑克牌25/28/30丝 亮片光滑手感单付黑色 【货品快照】
箱装数量:25丝常规（黑红各半混装）",1.60,https://detail.1688.com/offer/576152496604.html?spm=a360q.8274423.0.0.10584c9aF0lDMa,20,9006201,,0.0,2024-12-12
"德州扑克塑料扑克牌加厚磨砂防水防折桥牌纸牌专业可水洗PVC 【货品快照】
颜色:全新料红色;  箱装数量:100副装",3.30,https://detail.1688.com/offer/770020371678.html?spm=a360q.8274423.0.0.10584c9aF0lDMa,10,2817143,,0,2024-12-12
"君众扑克WPG德州扑克赛事专用扑克塑料PVC宽牌大字防水防折磨砂牌 【货品快照】
颜色:（WPG）红色一副",2.00,https://detail.1688.com/offer/837164439234.html?spm=a360q.8274423.0.0.73484c9aW9J8H2,1,7322232,,0,2024-12-12
"麻将筹码棋牌室专用卡片筹码币德州扑克积分币打麻将打牌用的码币 【货品快照】
骰子规格:加厚高配筹码币带圆盒（中组合）共100片",8.99,https://detail.1688.com/offer/744226123747.html?spm=a360q.8274423.0.0.73484c9aW9J8H2,4,1940167,,0,2024-12-12
"得力714系列502胶水塑料模型胶水粘贴透明快干胶水皮革胶水瞬间胶 【货品快照】
规格:7146胶/卡;  胶体颜色:透明",0.86,https://detail.1688.com/offer/826159313035.html?spm=a360q.8274423.0.0.73484c9aW9J8H2,10,1247038,,0,2024-12-12
"得力714系列502胶水塑料模型胶水粘贴透明快干胶水皮革胶水瞬间胶 【货品快照】
规格:7147胶/卡;  胶体颜色:透明",2.44,https://detail.1688.com/offer/826159313035.html?spm=a360q.8274423.0.0.73484c9aW9J8H2,5,3850225,,0,2024-12-12
"得力714系列502胶水塑料模型胶水粘贴透明快干胶水皮革胶水瞬间胶 【货品快照】
规格:7140胶/卡;  胶体颜色:透明",1.23,https://detail.1688.com/offer/826159313035.html?spm=a360q.8274423.0.0.73484c9aW9J8H2,10,9983354,,0,2024-12-12
"水管保温棉开口自粘防冻保温套消防管道空调B1阻燃隔热橡塑保温管 【货品快照】
规格:自粘型内径22（4分）*厚度15mm*0.95米长",3.00,https://trade.1688.com/order/offer_snapshot.htm?spm=a360q.8728381.content.12.770a6aa6oSJg1U&buyer_id=2168306012&order_entry_id=2405257683761301260,3,3673786,,0,2024-12-13
"水管保温棉开口自粘防冻保温套消防管道空调B1阻燃隔热橡塑保温管 【货品快照】
规格:自粘型内径27（6分）*厚度15mm*0.95米长",3.40,https://detail.1688.com/offer/688069370016.html?spm=a360q.8274423.0.0.46184c9ahBawjN,3,3586607,,0,2024-12-13
"水管保温棉开口自粘防冻保温套消防管道空调B1阻燃隔热橡塑保温管 【货品快照】
规格:自粘型内径34（1寸）*厚度15mm*0.95米长",4.10,https://detail.1688.com/offer/688069370016.html?spm=a360q.8274423.0.0.46184c9ahBawjN,3,8041935,,0,2024-12-13
"冬天水管防冻神器保护套冬季室外包自来水管道隔热保温棉材料自粘 【货品快照】
规格:（隔热保温/自粘隔音）灰色★ 8cm宽x2米长 1卷装",4.20,https://detail.1688.com/offer/841772608307.html?spm=a360q.8274423.0.0.46184c9ahBawjN,3,3433219,,0,2024-12-13
"水管防冻神器保温棉管套水龙头自来水管保护套保温套冬季自粘材料 【货品快照】
规格:中号黑色",3.00,https://detail.1688.com/offer/848436158057.html?spm=a360q.8274423.0.0.46184c9ahBawjN,5,8393146,,0,2024-12-13
天天特卖骆驼取暖器小太阳家用节能电热扇大面积电暖器浴室电烤火,17.00,https://detail.1688.com/offer/823229568900.html?spm=a360q.7751292/new.0.0.111128e6mVaiUx,1,5912893,,0,2024-12-13
骆驼家用滕洋大面积跨境暖风机电烤火炉电热扇电暖器小太阳取暖器,17.37,https://detail.1688.com/offer/827489866949.html?spm=a360q.7751292/new.0.0.85d228e6ILaun9,1,8208510,,0,2024-12-13
"韩雀新款跨境暖风机立式家用电暖器 PTC陶瓷电暖气 三秒热取暖器
颜色：HQ-YND-500D 国内220V
货号：HQ-YND-500D 国内220V",33.20,https://trade.1688.com/order/offer_snapshot.htm?spm=a360q.8728381.content.12.d8646aa6M7GLu3&buyer_id=2168306012&order_entry_id=2406464078291301260,1,1439682,,0,2024-12-14
